	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
Myoc	15	16	7	16	20	24
Myocd	31	27	15	27	31	28
Myod1	0	1	0	0	0	2
Myof	566	520	410	300	307	352
Myog	2	2	1	0	0	0
Myom1	295	251	234	177	209	217
Myom2	3	4	0	2	0	0
Myom3	35	29	18	9	25	27
Myot	1	0	1	0	0	0
Myoz1	2	1	0	1	0	1
Myoz2	0	0	0	0	0	0
Myoz3	0	0	0	0	1	0
Mypn	153	192	149	113	160	156
Mypop	418	389	309	282	332	358
Mypopos	172	214	140	183	170	175
Myrf	61	85	89	63	98	74
Myrfl	23	25	18	26	26	16
Myrip	3742	3405	2701	2105	2219	2530
Mysm1	3215	3045	2348	2053	2464	2492
Myt1	5046	4496	3627	3477	3968	4026
Myt1l	1766	1834	1381	1001	1179	1186
Myzap	84	107	91	62	57	82
Mzb1	5	8	4	3	1	2
Mzf1	230	287	218	154	211	213
Mzt1	3457	3121	2022	1043	1163	1289
Mzt2	446	442	322	334	343	414
N4bp1	2058	1961	1552	1387	1441	1591
N4bp2	2856	2625	2024	1612	1870	1877
N4bp2l1	545	487	459	404	489	519
N4bp2l2	6637	5967	4791	4299	5106	5436
N4bp3	425	433	303	389	385	397
N6amt1	586	587	380	423	498	500
Naa10	614	566	482	491	464	527
Naa11	37	35	25	7	7	12
Naa15	2751	2582	2013	1862	2251	2210
Naa16	766	778	578	499	614	647
Naa20	2639	2485	1673	1780	2011	2216
Naa25	1952	1921	1326	1262	1422	1495
Naa30	1980	2001	1449	1444	1676	1719
Naa35	1597	1472	1165	955	1137	1222
Naa38	736	702	554	433	502	541
Naa40	1332	1189	863	924	1042	1070
Naa50	1525	1585	1080	988	1052	1143
Naa60	2106	2121	1630	1442	1626	1777
Naaa	1564	1366	1052	1000	1085	1313
Naalad2	82	84	71	45	53	50
Naaladl1	26	26	27	25	30	34
Naaladl2	140	125	109	106	94	98
Nab1	1979	1890	1415	1187	1240	1435
Nab2	553	576	392	214	236	258
Nabp1	494	498	339	329	358	383
Nabp2	1213	1095	863	743	825	890
Naca	9746	8962	6616	7043	7745	8705
Nacad	1400	1421	972	976	1149	1130
Nacc1	2655	2552	2009	1739	1858	2102
Nacc2	2337	2095	1543	1610	1771	1850
Nadk	1115	1134	840	870	1040	1059
Nadk2	7259	6704	5221	6390	7111	7804
Nadsyn1	313	297	244	223	273	271
Nae1	3487	3163	2461	2499	2950	3126
Naf1	677	674	461	475	469	561
Naga	1098	1022	793	711	795	878
Nagk	568	547	434	397	496	530
Naglu	439	423	321	317	295	382
Nagpa	204	210	142	154	155	195
Nags	1	1	1	0	1	0
Naif1	433	395	379	322	379	354
Naip1	17	22	16	2	7	4
Naip2	10	14	9	11	8	8
Naip3-001	5	3	0	2	2	3
Naip5	13	10	3	1	4	9
Naip6	4	3	3	2	2	6
Nalcn	4384	3991	2863	2427	2770	3090
Nampt	4046	3706	2687	2578	2840	3205
Nanog	2	2	1	0	1	0
Nanos1	897	769	617	515	544	624
Nanos2	3	7	1	0	1	5
Nanos3	9	14	5	11	11	8
Nanp	367	404	253	258	300	325
Nans	828	709	545	521	528	599
Nap1l1	10510	10350	7215	6781	7727	8215
Nap1l2	2159	2139	1463	1320	1379	1573
Nap1l3	1688	1577	1125	1030	1137	1337
Nap1l4	6122	5707	4302	4112	4608	4992
Nap1l5	7876	9223	6208	6044	6747	7463
Napa	4135	3929	2837	2563	2703	2951
Napb	24968	23180	17221	17031	18630	21054
Napepld	799	748	574	467	522	603
Napg	5763	5225	3897	3683	4052	4439
Naprt	82	63	47	45	48	51
Napsa	51	35	38	43	56	65
Narf	2913	3013	2133	2095	2125	2384
Narfl	1667	1517	1131	1313	1401	1541
Nars	7126	6952	4925	4066	4594	4894
Nars2	691	614	443	496	521	593
Nasp	1163	1267	896	966	1207	1163
Nat1	86	74	37	173	191	224
Nat10	2033	1913	1472	1362	1585	1659
Nat14	1402	1359	1044	974	1095	1231
Nat2	66	53	34	60	69	91
Nat3	0	0	0	0	0	1
Nat6	501	501	361	364	371	438
Nat8	13	7	5	7	8	2
Nat8f1	302	369	254	193	208	255
Nat8f2	15	17	5	6	5	4
Nat8f3	59	52	61	122	182	200
Nat8f4	671	688	446	106	127	130
Nat8f5	12	14	13	0	4	3
Nat8f6	24	22	26	51	69	92
Nat8f7	49	38	36	71	105	105
Nat8l	2870	2739	1893	1711	1912	2239
Nat9	868	840	631	597	711	770
Natd1	479	552	411	339	344	401
Nav1	1600	1752	1310	789	1047	958
Nav2	606	631	481	484	646	539
Nav3	831	728	538	312	385	399
Nbas	4824	4395	3679	3139	3646	3843
Nbea	14093	13198	10263	8785	10384	10922
Nbeal1	4210	4136	3053	2679	3349	3314
Nbeal2	263	257	198	181	224	200
Nbl1	1063	950	760	209	192	191
Nbn	1036	1076	782	709	788	871
Nbr1	13289	12618	9491	8218	9153	10186
Ncald	5398	4625	3391	2766	3060	3585
Ncam1	19195	18468	13995	12207	13781	14226
Ncam2	1858	1748	1182	1035	1244	1341
Ncan	479	411	314	318	393	418
Ncapd2	777	695	521	490	552	553
Ncapd3	4012	3853	3030	2886	3566	3689
Ncapg	204	194	141	195	212	230
Ncapg2	264	251	188	177	210	225
Ncaph	23	20	11	23	27	38
Ncaph2	3946	3871	3058	2859	2892	3379
Ncbp1	2770	2666	2009	1783	2130	2392
Ncbp2	2958	3172	2178	1782	2160	2311
Ncbp3	4111	3789	2982	3005	3490	3510
Nccrp1	6	10	9	2	5	3
Ncdn	5544	4998	3918	3699	3914	4351
Nceh1	3641	3243	2171	2346	2453	2773
Ncf1	50	44	40	22	33	37
Ncf2	80	99	72	38	57	58
Ncf4	8	4	4	3	6	2
Nck1	1651	1774	1181	1082	1150	1223
Nck2	480	437	261	305	307	338
Nckap1	7559	7281	5338	4854	5329	5788
Nckap1l	141	112	82	95	108	108
Nckap5	734	751	518	448	581	508
Nckap5l	214	234	147	142	173	181
Nckap5los	68	67	50	47	67	74
Nckipsd	703	769	580	491	536	602
Ncl	5582	5909	4286	3970	4692	4671
Ncln	1823	1759	1498	1389	1483	1638
Ncmap	50	40	31	23	33	36
Ncoa1	8145	7344	5841	5068	5972	5998
Ncoa2	7063	6567	5244	4513	5195	5447
Ncoa3	1565	1583	1239	1111	1271	1281
Ncoa4	4680	4516	3351	3107	3474	3794
Ncoa5	2632	2557	1770	1758	2038	2068
Ncoa6	1589	1674	1300	1112	1342	1263
Ncoa7	1702	1560	1021	1055	1245	1295
Ncor1	11793	11101	8863	8102	9565	9917
Ncor2	840	866	676	549	669	594
Ncr1	1	0	0	0	0	0
Ncr3-ps-001	0	1	0	0	1	0
Ncs1	2626	2453	1725	1589	1739	1906
Ncstn	1600	1612	1142	940	1061	1187
Ndc1	960	955	720	687	842	855
Ndc80	4	4	5	3	3	2
Nde1	768	727	541	480	558	561
Ndel1	2709	2582	1873	1606	1704	1986
Ndfip1	13583	12846	8799	8262	8862	10241
Ndfip2	2605	2597	1668	2093	2193	2635
Ndn	4973	5250	2679	3428	3548	4146
Ndnf	8945	7769	6160	5393	6356	6804
Ndnl2	907	883	644	772	810	916
Ndor1	1127	1119	905	825	933	961
Ndp	282	239	174	174	203	225
Ndrg1	8176	8142	6195	6197	6921	7504
Ndrg2	4147	3737	2643	3420	3551	4235
Ndrg3	20979	19769	15356	16058	18026	19513
Ndrg4	18547	16625	11633	9990	10647	12519
Ndst1	4114	3751	2923	2868	3203	3346
Ndst2	712	707	512	527	608	630
Ndst3	1096	1130	757	784	895	899
Ndst4	383	358	270	213	252	271
Ndufa1	1643	1668	1264	1026	1134	1249
Ndufa10	5281	4974	3721	3414	3771	4243
Ndufa11	1329	1336	1018	898	954	1102
Ndufa12	3355	3024	2442	2273	2332	2732
Ndufa13	3166	3081	2313	2158	2239	2561
Ndufa2	1835	1808	1461	1216	1259	1446
Ndufa3	1611	1480	1296	1034	1164	1287
Ndufa4	10684	10216	7662	6993	7580	8395
Ndufa4l2	31	28	25	33	21	25
Ndufa5	1672	1479	1152	1064	1144	1344
Ndufa6	2396	2162	1718	1607	1786	1985
Ndufa7	1869	1895	1352	1262	1318	1494
Ndufa8	1375	1347	877	937	1059	1167
Ndufa9	3071	2893	2190	2020	2262	2550
Ndufab1	1287	1228	1000	987	1157	1180
Ndufaf1	625	721	437	446	477	526
Ndufaf2	476	485	317	264	331	358
Ndufaf3	1195	1158	906	818	854	1037
Ndufaf4	2000	1851	1273	1244	1420	1676
Ndufaf5	1421	1355	1042	877	1073	1122
Ndufaf6	269	247	201	167	190	195
Ndufaf7	923	973	709	632	733	773
Ndufb10	2961	2824	2044	1861	2038	2285
Ndufb11	3272	2990	2399	2273	2545	2791
Ndufb2	3293	3399	2418	2323	2634	2890
Ndufb3	3146	3023	2240	1941	2214	2424
Ndufb4	2690	2469	1793	1707	1744	2047
Ndufb5	2619	2588	1929	1795	2032	2200
Ndufb6	1763	1765	1329	1185	1319	1419
Ndufb7	1780	1753	1263	1222	1321	1439
Ndufb8	5227	4682	3616	3417	3740	4206
Ndufb9	3555	3362	2560	2322	2412	2743
Ndufc1	1669	1572	1118	1263	1209	1387
Ndufc2	3432	3272	2254	2065	2210	2392
Ndufs1	6887	6418	4706	4639	5084	5620
Ndufs2	9666	8567	6640	4431	4974	5530
Ndufs3	2672	2597	1981	1933	2126	2317
Ndufs4	1932	1992	1466	1320	1544	1684
Ndufs5	2247	2273	1641	1622	1662	1954
Ndufs6	1570	1482	1176	906	991	1013
Ndufs7	1706	1557	1198	1089	1221	1467
Ndufs8	1624	1511	1176	1045	1224	1272
Ndufv1	6392	5917	4629	4372	4727	5278
Ndufv2	4791	4403	3195	3038	3404	3839
Ndufv3	3649	3200	2501	2417	2667	2906
Neb	157	191	156	57	81	72
Nebl	5854	5226	3903	3447	3896	4509
Necab1	2913	2667	1943	1965	2263	2490
Necab2	702	773	546	299	282	354
Necab3	210	189	113	182	224	216
Necap1	8036	7299	5347	5291	5624	6596
Necap2	757	752	564	551	533	607
Nectin1	2587	2594	1848	1681	1877	1904
Nectin2	556	481	404	322	326	359
Nectin3	2610	2623	1813	1489	1597	1683
Nectin4	202	205	161	153	158	191
Nedd1	570	597	424	418	493	501
Nedd4	33322	30394	23649	23141	25553	27484
Nedd4l	4056	3734	2984	2418	2664	2954
Nedd8	3114	3053	2213	2197	2240	2540
Nedd9	667	641	544	362	373	402
Nefh	3005	3006	1721	1339	1506	1672
Nefl	19167	18235	11308	8724	9351	11084
Nefm	6409	6445	4124	2925	3233	3626
Negr1	4705	4777	3680	3528	3755	4182
Neil1	342	337	238	223	283	292
Neil2	263	245	194	200	222	224
Neil3	3	4	0	0	1	0
Nek1	2341	2389	1703	1506	1880	1856
Nek10	109	80	74	192	218	216
Nek11	108	101	95	33	46	34
Nek2	33	30	30	42	43	49
Nek3	195	190	130	51	59	68
Nek4	1521	1505	1149	1083	1208	1234
Nek5	19	25	18	2	3	1
Nek6	3531	3352	2314	2437	2490	3002
Nek7	3509	3321	2363	2230	2393	2560
Nek8	138	136	87	63	74	98
Nek9	3064	3003	2287	1979	2345	2282
Nelfa	1072	1009	779	784	869	925
Nelfb	2469	2278	1675	1424	1520	1700
Nelfcd	2382	2271	1734	1620	1804	1862
Nelfe	613	611	431	478	538	591
Nell1	779	738	595	428	445	490
Nell1os	3	1	3	0	2	0
Nell2	1752	1633	1173	1059	1183	1276
Nemf	4912	4591	3378	3120	3563	3844
Nemp1	622	589	456	415	496	548
Nemp2	422	480	324	353	440	447
Nenf	498	476	341	304	352	396
Neo1	5204	4899	3731	4345	4986	5296
Nepn	0	1	0	0	1	1
Nepro	608	580	414	471	550	545
Nes	269	277	215	200	198	141
Nespas	37	29	40	25	39	42
Net1	575	522	405	327	397	454
Neto1	365	369	221	237	258	271
Neto2	1942	1855	1274	1467	1687	1841
Neu1	1472	1452	1042	1089	1096	1211
Neu2	11	11	11	3	5	8
Neu3	173	168	98	155	160	162
Neu4	0	0	0	1	1	1
Neurl1a	1815	1551	1240	1298	1378	1626
Neurl1b	53	58	44	44	41	43
Neurl2	173	127	114	118	116	117
Neurl3	20	13	15	8	6	16
Neurl4	5795	5201	4182	4097	4504	4738
Neurod1	15137	14028	10389	9259	10454	11456
Neurod2	664	574	442	398	451	502
Neurod4	11012	9507	6415	6927	7635	8962
Neurod6	55	54	35	32	38	38
Neurog1	0	0	0	0	1	0
Neurog2	88	75	57	70	61	72
Neurog3	0	0	0	0	0	0
Nexn	107	121	79	57	101	82
Nf1	10203	9566	7978	6237	7680	7595
Nf2	4621	4220	3178	2853	3128	3398
Nfam1	18	21	17	14	10	13
Nfasc	8060	7616	6290	5246	6330	6087
Nfat5	2684	2870	2212	1932	2433	2157
Nfatc1	26	23	14	13	12	13
Nfatc2	153	150	117	106	124	123
Nfatc2ip	583	596	411	438	479	535
Nfatc3	1659	1648	1231	1129	1312	1343
Nfatc4	143	151	98	114	108	125
Nfe2	7	14	8	14	9	13
Nfe2l1	6215	6214	4545	3889	4191	4600
Nfe2l2	851	860	653	545	552	661
Nfe2l3	431	486	386	331	469	382
Nfia	1345	1423	1041	844	1006	1013
Nfib	2152	2107	1497	1353	1487	1595
Nfic	2458	2458	1885	1816	2125	2061
Nfil3	564	507	388	422	422	495
Nfix	1347	1354	962	997	1103	1147
Nfkb1	1013	931	663	606	691	766
Nfkb2	245	213	174	177	185	165
Nfkbia	1018	1111	730	662	640	747
Nfkbib	339	297	243	254	264	278
Nfkbid	105	124	96	99	95	103
Nfkbie	76	83	56	54	74	70
Nfkbil1	337	309	249	267	279	312
Nfkbiz	641	612	447	486	523	562
Nfrkb	1723	1633	1289	1171	1365	1416
Nfs1	1308	1221	956	905	1001	1067
Nfu1	547	558	396	339	383	398
Nfx1	4401	4223	3270	3142	3597	3734
Nfxl1	830	819	587	580	668	731
Nfya	1121	1242	856	726	879	885
Nfyb	2213	1837	1380	1291	1487	1674
Nfyc	1830	1706	1265	1277	1424	1533
Ngb	73	86	62	58	56	71
Ngdn	1299	1245	1024	993	1129	1267
Ngef	609	527	418	322	315	350
Ngf	28	26	20	13	13	16
Ngfr	1077	958	757	558	656	746
Ngfrap1	2470	2451	1777	1622	1663	1976
Ngly1	2302	2206	1726	1547	1657	1799
Ngp	12	13	4	4	7	7
Ngrn	2240	2126	1587	1456	1472	1680
Nhej1	71	66	48	39	34	47
Nhlh1	118	110	82	61	63	73
Nhlh2	2110	1907	1239	1607	1790	1999
Nhlrc1	646	607	434	786	722	987
Nhlrc2	2279	2165	1655	1519	1736	1858
Nhlrc3	914	840	641	668	779	814
Nhlrc4	33	19	21	21	28	28
Nhp2	895	853	615	550	679	717
Nhp2l1	2324	2328	1682	1540	1607	1814
Nhs	680	727	554	526	592	652
Nhsl1	142	123	111	101	120	107
Nhsl2	602	529	406	313	383	396
Nicn1	3090	3004	2229	2230	2296	2543
Nid1	85	105	68	61	61	62
Nid2	154	185	108	65	57	51
Nif3l1	1851	1721	1286	1316	1393	1565
Nifk	1683	1654	1243	1243	1322	1518
Nim1k	6340	6264	5202	4455	4776	5099
Nin	3607	3341	2716	2741	3068	3227
Ninj1	125	127	104	99	98	115
Ninj2	27	30	19	10	15	21
Ninl	183	209	150	141	158	145
Nip7	1067	1060	799	728	759	805
Nipa1	1264	1080	810	732	787	876
Nipa2	1641	1657	1153	1218	1338	1389
Nipal1	577	524	386	307	325	409
Nipal2	489	487	344	303	317	318
Nipal3	5490	5216	4076	3941	4154	4793
Nipal4	1	1	1	9	9	11
Nipbl	10080	9441	7421	6100	7399	7672
Nipsnap1	1372	1174	792	983	1126	1223
Nipsnap3a	0	0	0	0	0	0
Nipsnap3b	417	313	251	318	297	411
Nisch	8905	8626	6616	5959	6643	7025
Nit1	2018	1917	1422	1439	1611	1756
Nit2	476	457	313	383	382	447
Nkain1	117	87	72	51	75	65
Nkain2	23	55	23	25	33	35
Nkain3	182	175	135	121	181	200
Nkain4	32	39	16	30	30	29
Nkap	1222	1160	729	825	943	1060
Nkapl	129	124	73	95	115	157
Nkd1	515	492	344	283	302	340
Nkd2	58	57	47	49	38	40
Nkg7	0	0	0	0	0	0
Nkiras1	2865	2743	1849	1947	2101	2311
Nkiras2	1234	1288	961	848	900	1003
Nkpd1	25	34	23	24	28	26
Nkrf	1086	880	634	665	759	671
Nktr	5574	5463	4392	4477	5446	5153
Nkx1-1	0	0	0	0	0	0
Nkx1-2	0	0	0	0	0	0
Nkx2-1	0	0	0	1	0	0
Nkx2-2	0	0	1	0	1	0
Nkx2-2os	0	0	0	0	0	0
Nkx2-3	0	0	0	0	0	0
Nkx2-4	0	1	1	2	2	0
Nkx2-5	0	0	0	0	0	0
Nkx2-6	0	0	0	0	0	0
Nkx2-9	0	0	0	0	0	0
Nkx3-1	13	4	3	1	5	3
Nkx3-2	0	0	0	0	0	1
Nkx6-1	0	1	0	7	1	2
Nkx6-2	6	2	3	3	6	3
Nkx6-3	6	5	2	5	8	4
Nle1	352	322	231	249	245	252
Nlgn1	2143	1949	1395	1167	1400	1450
Nlgn2	3297	3285	2484	1923	2088	2187
Nlgn3	2725	2495	1852	2049	2053	2275
Nlk	13546	12871	9546	9448	10263	11451
Nln	407	336	295	226	237	262
Nlrc3	122	130	107	90	135	119
Nlrc4	3	3	6	6	1	5
Nlrc5	30	22	20	12	9	10
Nlrp10	17	23	18	9	9	19
Nlrp12	0	3	3	0	1	1
Nlrp14	0	0	0	0	0	0
Nlrp1a	1	4	1	2	1	3
Nlrp1b	3	2	2	1	3	2
Nlrp1c-ps	4	3	1	0	0	0
Nlrp2	0	0	0	1	0	1
Nlrp3	0	7	4	6	3	4
Nlrp4a	0	0	0	0	0	1
Nlrp4b	0	0	0	0	0	1
Nlrp4c	5	3	1	1	2	0
Nlrp4d-001	1	1	0	0	1	0
Nlrp4e	0	0	0	0	0	0
Nlrp4f	15	24	11	4	2	12
Nlrp4g	1	1	0	0	0	0
Nlrp5	0	4	1	8	8	11
Nlrp5-ps	376	626	347	764	777	1179
Nlrp6	1	3	2	0	0	0
Nlrp9a	0	0	0	0	0	0
Nlrp9b	0	1	0	0	0	1
Nlrp9c	0	0	0	0	0	0
Nlrx1	192	187	142	124	170	192
Nmb	48	43	29	33	48	45
Nmbr	161	167	106	145	178	203
Nmd3	1527	1546	1193	1093	1266	1383
Nme1	4790	4712	3545	3242	3534	4077
Nme2	1061	960	732	722	742	799
Nme3	870	853	623	675	690	798
Nme4	60	42	24	46	42	34
Nme5	303	293	246	245	263	278
Nme6	288	281	197	203	237	254
Nme7	2412	2408	1564	1666	1862	2033
Nme8	0	0	0	0	0	0
Nme9	1	2	2	1	1	0
Nmi	138	93	85	57	51	67
Nmnat1	365	358	238	248	262	336
Nmnat2	2977	2820	2060	1598	1691	1937
Nmnat3	139	170	125	48	50	49
Nmral1	381	367	282	343	402	463
Nmrk1	253	236	163	102	130	144
Nmrk2	12	12	9	13	13	10
Nms	0	2	0	0	0	0
Nmt1	4497	4347	3179	3076	3474	3757
Nmt2	2225	2073	1544	1619	1712	1840
Nmu	2	3	2	1	0	4
Nmur1	5	4	3	2	1	5
Nmur2	46	33	25	7	19	15
Nnat	764	656	553	585	649	685
Nnmt	0	2	1	0	1	1
Nnt	566	551	402	290	312	301
Noa1	414	410	312	350	344	361
Nob1	585	612	424	458	528	560
Nobox	1	0	0	0	0	2
Noc2l	5228	4949	3837	2469	2723	2848
Noc3l	1058	1065	765	923	1013	1123
Noc4l	377	366	282	244	291	321
Noct	1410	1358	967	958	1147	1244
Nod1	103	103	68	48	55	66
Nod2	24	30	25	27	37	36
Nodal	7	8	3	6	5	11
Nog	5	11	13	13	7	4
Nol10	783	876	636	885	906	973
Nol11	3253	3112	2217	2218	2527	2759
Nol12	414	511	307	315	346	367
Nol3	810	754	509	498	608	669
Nol4	1178	1101	792	718	814	865
Nol4l	2777	2700	2128	1428	1651	1661
Nol6	1627	1475	1186	1103	1152	1244
Nol7	3520	3486	2466	2473	2827	3031
Nol8	1465	1520	1101	1061	1140	1255
Nol9	680	724	564	543	495	524
Nolc1	1398	1414	960	826	931	1045
Nom1	1354	1275	962	987	1071	1131
Nomo1	5201	5035	3722	3655	4070	4569
Nono	9193	8444	6431	5840	6424	7184
Nop10	1057	1047	704	921	1019	1165
Nop14	998	1026	705	658	734	804
Nop16	769	759	564	547	654	685
Nop2	972	961	700	608	697	738
Nop56	3227	3115	2282	2302	2497	2673
Nop58	3862	3533	2684	2436	2805	2832
Nop9	637	714	571	546	569	617
Nos1	285	253	214	251	303	279
Nos1ap	157	189	139	102	134	135
Nos2	9	4	5	7	3	6
Nos3	465	446	347	2038	2132	2353
Nosip	1538	1388	1106	1052	1190	1235
Nostrin	44	45	35	35	32	40
Notch1	1428	1254	1080	903	1029	1067
Notch2	1498	1419	1145	810	992	943
Notch3	192	197	143	84	118	124
Notch4	149	145	94	148	163	145
Noto	8	6	6	6	1	5
Notum	53	42	40	27	24	26
Notumos	11	8	3	2	3	8
Nov	1	8	0	3	1	0
Nova1	912	866	604	576	669	666
Nova2	265	276	192	171	184	190
Nox1	313	315	216	233	286	270
Nox3	1	0	0	0	0	0
Nox4	14	14	16	6	13	10
Noxa1	0	0	0	1	0	0
Noxo1	116	112	81	107	127	113
Noxred1	42	53	27	35	23	20
Npas1	112	81	96	23	32	22
Npas2	75	58	46	72	75	80
Npas3	201	180	142	128	129	147
Npas4	82	90	52	37	50	67
Npat	2523	2246	1762	1473	1663	1781
Npb	22	16	12	14	13	18
Npbwr1	0	0	0	0	0	0
Npc1	4768	4294	3571	3263	3622	3853
Npc1l1	14	14	17	9	10	18
Npc2	1568	1512	1241	1088	1120	1184
Npcd	1418	1343	1034	894	984	1104
Npdc1	1089	1081	828	812	899	951
Npepl1	308	317	225	282	304	297
Npepps	7454	6498	5117	4826	5478	6022
Npff	40	48	42	37	37	30
Npffr1	22	13	16	12	16	17
Npffr2	0	0	0	0	0	0
Nphp1	1079	1048	778	988	1065	1165
Nphp3	326	268	218	377	415	411
Nphp4	869	879	683	635	722	757
Nphs1	101	78	79	86	79	76
Nphs1os	8	10	10	5	9	5
Nphs2	3	1	2	5	8	7
Npl	388	385	267	520	561	675
Nploc4	2363	2249	1754	1626	1793	1987
Npm1	8278	7643	5468	5162	5740	6547
Npm2	3	11	10	16	25	17
Npm3	404	419	280	215	227	270
Npn2	1	2	2	3	2	1
Npnt	641	676	452	421	437	498
Nppa	22	22	17	23	17	31
Nppb	13	9	11	1	0	0
Nppc	8	10	7	5	4	10
Npr1	78	81	74	66	67	79
Npr2	1421	1328	1000	964	1180	1178
Npr3	281	299	201	256	266	287
Nprl2	791	749	599	575	669	706
Nprl3	905	867	693	485	562	608
Nps	0	2	1	0	1	1
Npsr1	103	114	78	90	86	96
Nptn	10819	10309	7523	7239	7755	8584
Nptx1	2929	2762	2043	1932	2025	2145
Nptx2	1381	1306	892	666	775	811
Nptxr	1845	1748	1228	1167	1363	1496
Npvf	12	24	8	7	4	0
Npw	0	0	2	0	0	2
Npy	212	268	189	136	139	144
Npy1r	77	61	48	38	41	45
Npy2r	2	1	5	22	20	16
Npy4r	4	2	1	7	6	4
Npy5r	28	16	16	15	16	16
Npy6r	28	28	23	11	11	19
Nqo1	152	125	96	85	100	102
Nqo2	890	852	629	587	610	707
Nr0b1	4	4	0	3	0	0
Nr0b2	1	0	0	0	1	0
Nr1d1	3732	3482	2671	2560	2655	2839
Nr1d2	14977	13161	9681	9833	11032	12510
Nr1h2	1898	1889	1447	1277	1444	1468
Nr1h3	157	142	103	140	148	147
Nr1h4	174	142	126	93	128	125
Nr1h5	1	2	0	0	0	1
Nr1i2	2	1	4	2	3	1
Nr1i3	1524	1425	1070	1116	1239	1342
Nr2c1	967	949	674	750	884	918
Nr2c2	8458	7967	6137	5143	5837	6337
Nr2c2ap	362	428	250	223	271	298
Nr2e1	290	291	233	174	236	252
Nr2e3	26579	24146	20205	18864	21034	23237
Nr2f1	592	559	354	299	344	397
Nr2f2	552	526	384	314	461	439
Nr2f6	571	561	421	349	366	417
Nr3c1	6399	5758	4561	4105	4846	5324
Nr3c2	2522	2350	1713	1620	1831	1994
Nr4a1	781	1002	691	294	322	276
Nr4a2	297	303	244	203	215	256
Nr4a3	65	110	107	36	48	29
Nr5a1	0	4	1	0	1	0
Nr5a1os	1	2	0	0	1	2
Nr5a2	4	2	2	1	2	2
Nr6a1	932	796	630	575	680	675
Nr6a1os	126	108	88	70	91	125
Nradd	55	47	32	31	38	36
Nrap	28	34	26	37	60	50
Nrarp	410	337	232	227	233	275
Nras	1510	1554	1132	1084	1132	1165
Nrbf2	621	627	433	405	416	500
Nrbp1	3876	3609	2801	2740	2942	3326
Nrbp2	1063	1008	669	787	907	895
Nrcam	5859	5452	4269	2714	3218	3343
Nrd1	4734	4741	3674	3049	3694	3763
Nrde2	1651	1557	1188	1414	1336	1674
Nrep	9046	8229	5641	5844	6362	7133
Nrf1	2458	2139	1777	1724	1869	2109
Nrg1	524	456	358	280	397	373
Nrg2	167	183	146	134	161	150
Nrg3	415	449	343	272	319	324
Nrg3os	13	24	17	6	19	17
Nrg4	341	352	241	210	225	212
Nrgn	135	114	92	96	86	108
Nrip1	2343	2273	1553	1567	1818	1908
Nrip2	1143	1031	773	777	849	983
Nrip3	1451	1383	952	883	962	1155
Nrk	1	1	0	3	0	1
Nrl	59068	54895	43044	41590	44602	50123
Nrm	1552	1364	1065	1066	1089	1221
Nrn1	3039	2730	1713	1631	1752	2045
Nrn1l	385	366	264	213	226	285
Nron	34	47	42	31	26	22
Nrp1	377	383	271	240	261	290
Nrp2	1060	1087	785	853	873	829
Nrros	248	147	153	48	40	41
Nrsn1	932	850	568	615	699	768
Nrsn2	778	710	498	498	618	618
Nrtn	43	48	31	38	40	44
Nrxn1	4167	3806	2994	2175	2557	2614
Nrxn2	3770	3704	2688	2677	2848	3281
Nrxn3	7267	7042	5525	4480	5641	5686
Nsa2	8088	7431	5056	4764	5435	6181
Nsd1	13197	12094	9648	8585	10243	10489
Nsdhl	540	544	347	428	426	465
Nsf	24929	22715	17844	16009	17131	19146
Nsfl1c	2424	2317	1589	1517	1714	1856
Nsg1	3363	3048	2149	1958	2100	2401
Nsg2	7834	6963	4993	4598	4611	5350
Nsl1	95	102	67	65	56	68
Nsmaf	1881	1875	1345	1421	1632	1687
Nsmce1	450	417	285	284	317	379
Nsmce2	1090	1048	788	753	847	889
Nsmce4a	2994	2867	2072	2093	2321	2606
Nsmf	1746	1693	1230	1255	1352	1501
Nsrp1	1121	1068	817	788	870	910
Nsun2	2728	2688	2007	1610	1824	1991
Nsun3	645	636	437	426	503	485
Nsun4	967	880	682	580	760	807
Nsun5	911	902	687	617	689	705
Nsun6	498	442	344	291	412	396
Nsun7	70	63	40	17	23	22
Nt5c	508	446	325	338	367	404
Nt5c1a	16	12	6	16	19	24
Nt5c1b	3	0	1	1	1	0
Nt5c2	3047	2823	2096	1891	2121	2291
Nt5c3	1833	1756	1197	1316	1375	1457
Nt5c3b	513	508	361	346	383	416
Nt5dc1	364	347	263	249	290	319
Nt5dc2	571	566	400	340	345	420
Nt5dc3	1212	1125	855	877	1027	1003
Nt5e	10548	9906	7381	9779	10709	11801
Nt5m	667	603	438	426	505	602
Ntan1	1635	1608	1151	969	1044	1165
Ntf3	25	12	8	7	3	2
Ntf5	8	6	5	4	2	5
Nthl1	120	126	113	85	98	109
Ntm	6160	6128	4397	4225	4569	4973
Ntmt1	607	568	464	398	422	565
Ntn1	39	57	44	46	40	39
Ntn4	373	410	279	324	374	441
Ntn5	23	18	12	11	10	10
Ntng1	2074	1969	1342	1234	1506	1657
Ntng2	2610	2580	2022	1576	1751	1861
Ntpcr	342	306	245	201	204	227
Ntrk1	294	226	181	163	169	204
